record_id,protein_name,protein_source,protein_category,pH,temperature_c,protein_concentration_pct,processing_method,extraction_method,measurement_method,solubility_pct,emulsification_index,foaming_capacity_pct,gel_strength_g
202,Rice Protein,Rice,Plant,5.07,66.2,3.29,Heat,Aqueous Extraction,Texture Analysis,52.89,53.1,49.84,70.66
203,Spirulina Protein,Spirulina,Algae,5.77,47.4,8.39,Heat,Aqueous Extraction,Texture Analysis,51.47,48.63,40.13,57.62
204,Chickpea Protein,Chickpea,Plant,5.34,26.6,4.85,pH Shift,Aqueous Extraction,Texture Analysis,48.03,56.6,46.65,44.37
205,Hemp Protein,Hemp,Plant,6.84,51.3,6.46,High Pressure,Salt Extraction,Texture Analysis,59.72,50.46,53.94,58.19
206,Mung Bean Protein,Mung Bean,Plant,7.19,22.3,4.91,High Pressure,Salt Extraction,Spectrophotometric,62.55,59.58,57.12,51.81
207,Potato Protein,Potato,Plant,5.03,71.8,4.56,Heat,Aqueous Extraction,Texture Analysis,50.95,55.93,45.34,60.25
208,Soy Protein,Soy,Plant,6.42,31.4,2.1,High Pressure,Salt Extraction,Emulsion Test,68.94,70.18,57.8,63.8
209,Potato Protein,Potato,Plant,5.34,80.1,8.55,Heat,Alkaline Extraction,Foam Test,59.51,56.66,41.98,54.29
210,Hemp Protein,Hemp,Plant,5.64,77.3,9.04,High Pressure,Alkaline Extraction,Spectrophotometric,49.2,52.63,47.01,76.17
211,Soy Protein,Soy,Plant,5.36,63.0,5.48,Untreated,Aqueous Extraction,Foam Test,54.79,58.96,47.05,60.04
212,Mung Bean Protein,Mung Bean,Plant,7.83,27.4,4.52,pH Shift,Alkaline Extraction,Texture Analysis,61.3,51.92,40.98,50.28
213,Soy Protein,Soy,Plant,6.12,24.8,8.11,Untreated,Aqueous Extraction,Emulsion Test,55.06,56.93,43.91,50.0
214,Pea Protein,Pea,Plant,5.67,83.5,7.37,pH Shift,Alkaline Extraction,Foam Test,53.63,55.87,34.28,55.21
215,Rice Protein,Rice,Plant,6.36,76.2,5.83,Untreated,Salt Extraction,Foam Test,48.54,53.66,42.64,50.87
216,Potato Protein,Potato,Plant,7.65,78.8,9.85,pH Shift,Aqueous Extraction,Emulsion Test,57.45,66.28,46.35,82.11
217,Mung Bean Protein,Mung Bean,Plant,7.67,57.8,2.77,pH Shift,Salt Extraction,Texture Analysis,53.93,55.21,34.07,66.13
218,Mung Bean Protein,Mung Bean,Plant,4.72,83.2,8.82,Heat,Salt Extraction,Spectrophotometric,50.31,59.61,41.58,63.79
219,Pea Protein,Pea,Plant,7.12,89.7,8.85,High Pressure,Salt Extraction,Texture Analysis,56.15,58.31,54.54,80.41
220,Pea Protein,Pea,Plant,8.59,66.8,8.63,Untreated,Alkaline Extraction,Spectrophotometric,50.89,58.62,29.28,59.77
221,Rice Protein,Rice,Plant,5.12,43.9,3.32,Heat,Salt Extraction,Foam Test,55.34,50.57,47.71,59.63
222,Rice Protein,Rice,Plant,6.69,65.7,9.6,High Pressure,Salt Extraction,Texture Analysis,61.05,58.01,62.15,65.07
223,Potato Protein,Potato,Plant,6.13,53.1,2.37,Heat,Alkaline Extraction,Emulsion Test,61.07,54.65,36.47,58.78
224,Mung Bean Protein,Mung Bean,Plant,5.43,56.2,2.04,High Pressure,Alkaline Extraction,Texture Analysis,64.78,51.55,54.5,80.44
225,Mung Bean Protein,Mung Bean,Plant,6.29,26.1,6.94,Heat,Salt Extraction,Spectrophotometric,53.1,53.1,47.48,50.65
226,Chickpea Protein,Chickpea,Plant,8.97,29.2,4.2,High Pressure,Aqueous Extraction,Emulsion Test,48.11,44.89,55.56,55.21
227,Chickpea Protein,Chickpea,Plant,5.84,70.3,9.63,Untreated,Alkaline Extraction,Texture Analysis,51.2,55.83,39.52,58.03
228,Rice Protein,Rice,Plant,7.48,26.5,6.77,Heat,Alkaline Extraction,Foam Test,58.73,55.71,32.33,43.25
229,Pea Protein,Pea,Plant,7.41,65.3,9.1,pH Shift,Salt Extraction,Foam Test,57.83,67.98,41.29,62.42
230,Potato Protein,Potato,Plant,6.88,78.0,9.93,pH Shift,Alkaline Extraction,Emulsion Test,62.42,62.63,31.24,77.85
231,Hemp Protein,Hemp,Plant,8.6,76.6,3.73,Untreated,Aqueous Extraction,Emulsion Test,46.96,50.83,39.16,50.26
232,Mung Bean Protein,Mung Bean,Plant,5.74,41.4,8.31,Heat,Aqueous Extraction,Spectrophotometric,54.5,53.66,43.54,55.91
233,Hemp Protein,Hemp,Plant,5.93,60.8,4.97,Untreated,Aqueous Extraction,Foam Test,50.36,55.94,35.07,59.09
234,Spirulina Protein,Spirulina,Algae,5.14,82.3,4.77,High Pressure,Alkaline Extraction,Foam Test,64.2,61.27,51.39,72.32
235,Potato Protein,Potato,Plant,7.55,62.4,4.92,pH Shift,Alkaline Extraction,Spectrophotometric,69.24,56.45,43.27,57.72
236,Spirulina Protein,Spirulina,Algae,8.84,46.9,2.31,High Pressure,Aqueous Extraction,Foam Test,58.62,54.24,52.91,74.32
237,Potato Protein,Potato,Plant,5.02,86.9,4.51,Heat,Alkaline Extraction,Emulsion Test,55.5,58.32,35.8,58.81
238,Spirulina Protein,Spirulina,Algae,6.65,57.3,3.35,Heat,Alkaline Extraction,Spectrophotometric,66.29,57.54,49.51,58.52
239,Chickpea Protein,Chickpea,Plant,6.78,67.4,3.88,pH Shift,Salt Extraction,Spectrophotometric,59.01,61.52,42.87,55.75
240,Chickpea Protein,Chickpea,Plant,8.18,34.5,8.26,pH Shift,Alkaline Extraction,Foam Test,53.41,58.33,46.73,50.82
241,Mung Bean Protein,Mung Bean,Plant,5.17,79.7,7.69,Untreated,Aqueous Extraction,Spectrophotometric,48.08,59.58,39.13,45.34
242,Potato Protein,Potato,Plant,6.97,24.0,7.45,Untreated,Salt Extraction,Foam Test,51.62,58.85,38.95,46.17
243,Rice Protein,Rice,Plant,5.86,54.4,6.18,High Pressure,Salt Extraction,Foam Test,50.77,61.16,54.41,62.72
244,Mung Bean Protein,Mung Bean,Plant,8.53,51.9,5.55,Heat,Alkaline Extraction,Foam Test,60.8,60.73,41.57,65.32
245,Hemp Protein,Hemp,Plant,7.38,40.9,3.92,Untreated,Alkaline Extraction,Spectrophotometric,50.52,51.25,43.61,40.05
246,Soy Protein,Soy,Plant,4.64,81.0,6.22,High Pressure,Salt Extraction,Spectrophotometric,61.12,61.14,52.26,80.33
247,Mung Bean Protein,Mung Bean,Plant,8.07,89.3,3.61,High Pressure,Salt Extraction,Spectrophotometric,60.63,49.46,53.0,73.2
248,Mung Bean Protein,Mung Bean,Plant,6.3,70.6,4.24,Heat,Aqueous Extraction,Texture Analysis,55.12,48.89,47.58,72.93
249,Spirulina Protein,Spirulina,Algae,4.95,80.8,7.45,Heat,Alkaline Extraction,Spectrophotometric,54.26,48.94,46.44,62.67
250,Spirulina Protein,Spirulina,Algae,8.39,48.1,4.34,pH Shift,Aqueous Extraction,Texture Analysis,55.93,53.91,44.5,59.97
6,Soy Protein,Soy,Plant,5.83,31.6,2.13,Untreated,Alkaline Extraction,Spectrophotometric,52.37,52.65,48.08,44.46
51,Mung Bean Protein,Mung Bean,Plant,4.75,80.5,8.5,pH Shift,Alkaline Extraction,Spectrophotometric,57.42,54.05,40.53,57.53
101,Chickpea Protein,Chickpea,Plant,7.32,81.2,9.87,Heat,Alkaline Extraction,Texture Analysis,53.88,,49.3,60.16
